DATE,PRICE_INR,RAINFALL_MM,MAX_TEMP_C,MIN_TEMP_C,MEAN_TEMP_C,HUMIDITY_PERCENT,PRICE_LAG_1,PRICE_LAG_2,PRICE_LAG_3,PRICE_LAG_7,PRICE_3D_MEAN,PRICE_7D_MEAN,RAIN_LAG_1,MAX_TEMP_LAG_1,HUMIDITY_LAG_1,RAIN_3D_SUM,RAIN_7D_SUM,CONSEC_RAIN_DAYS_LAG1,FLAG_HEAVY_RAIN,FLAG_HOT_DAY,FLAG_HUMID_DAY
2010-01-08,404,0.0,28.53,19.08,23.81,71.71,404.0,404.0,404.0,404.0,404.0,404.0,0.0,28.08,71.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-09,404,0.0,29.19,20.77,24.98,75.18,404.0,404.0,404.0,404.0,404.0,404.0,0.0,28.53,71.71,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-10,244,0.0,28.66,21.94,25.3,80.88,404.0,404.0,404.0,404.0,404.0,404.0,0.0,29.19,75.18,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,144,0.27,27.76,21.92,24.84,82.83,244.0,404.0,404.0,404.0,350.67,381.14,0.0,28.66,80.88,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,144,0.54,27.42,21.52,24.47,82.78,144.0,244.0,404.0,404.0,264.0,344.0,0.27,27.76,82.83,0.27,0.27,0.0,0.0,0.0,0.0
2010-01-13,184,0.16,28.58,21.52,25.05,80.88,144.0,144.0,244.0,404.0,177.33,306.86,0.54,27.42,82.78,0.81,0.81,0.0,0.0,0.0,0.0
2010-01-14,244,0.56,27.34,21.8,24.57,82.9,184.0,144.0,144.0,404.0,157.33,275.43,0.16,28.58,80.88,0.9700000000000001,0.9700000000000001,0.0,0.0,0.0,0.0
2010-01-15,164,0.03,27.08,21.04,24.06,81.96,244.0,184.0,144.0,404.0,190.67,252.57,0.56,27.34,82.9,1.2600000000000002,1.5300000000000002,0.0,0.0,0.0,0.0
2010-01-16,164,0.0,28.72,18.5,23.61,71.34,164.0,244.0,184.0,404.0,197.33,218.29,0.03,27.08,81.96,0.7500000000000001,1.56,0.0,0.0,0.0,0.0
2010-01-17,144,0.0,29.15,18.42,23.78,72.48,164.0,164.0,244.0,244.0,190.67,184.0,0.0,28.72,71.34,0.5900000000000001,1.56,0.0,0.0,0.0,0.0
2010-01-18,144,0.0,28.81,18.83,23.82,71.79,144.0,164.0,164.0,144.0,157.33,169.71,0.0,29.15,72.48,0.03,1.56,0.0,0.0,0.0,0.0
2010-01-19,122,0.0,29.34,19.38,24.36,70.48,144.0,144.0,164.0,144.0,150.67,169.71,0.0,28.81,71.79,0.0,1.29,0.0,0.0,0.0,0.0
2010-01-20,224,0.0,28.62,19.2,23.91,73.99,122.0,144.0,144.0,184.0,136.67,166.57,0.0,29.34,70.48,0.0,0.7500000000000001,0.0,0.0,0.0,0.0
2010-01-21,244,0.0,28.45,16.33,22.39,64.81,224.0,122.0,144.0,244.0,163.33,172.29,0.0,28.62,73.99,0.0,0.5900000000000001,0.0,0.0,0.0,0.0
2010-01-22,164,0.0,28.47,16.09,22.28,64.49,244.0,224.0,122.0,164.0,196.67,172.29,0.0,28.45,64.81,0.0,0.03,0.0,0.0,0.0,0.0
2010-01-23,102,0.0,28.33,16.07,22.2,64.42,164.0,244.0,224.0,164.0,210.67,172.29,0.0,28.47,64.49,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,144,0.0,28.17,16.89,22.53,70.03,102.0,164.0,244.0,144.0,170.0,163.43,0.0,28.33,64.42,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-25,164,0.0,27.94,17.68,22.81,64.73,144.0,102.0,164.0,144.0,136.67,163.43,0.0,28.17,70.03,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-26,164,0.0,28.28,18.02,23.15,67.89,164.0,144.0,102.0,122.0,136.67,166.29,0.0,27.94,64.73,0.0,0.0,0.0,0.0,0.0,0.0
