DATE,PRICE_INR,RAINFALL_MM,MAX_TEMP_C,MIN_TEMP_C,MEAN_TEMP_C,HUMIDITY_PERCENT
2010-01-01,404,0.0,26.88,22.08,24.48,81.12
2010-01-02,404,0.0,29.25,19.39,24.32,74.47
2010-01-03,404,0.0,28.28,18.36,23.32,72.39
2010-01-04,404,0.0,28.51,17.85,23.18,68.85
2010-01-05,404,0.0,29.06,17.98,23.52,68.83
2010-01-06,404,0.0,28.46,18.1,23.28,69.77
2010-01-07,404,0.0,28.08,18.58,23.33,71.0
2010-01-08,404,0.0,28.53,19.08,23.81,71.71
2010-01-09,404,0.0,29.19,20.77,24.98,75.18
2010-01-10,244,0.0,28.66,21.94,25.3,80.88
2010-01-11,144,0.27,27.76,21.92,24.84,82.83
2010-01-12,144,0.54,27.42,21.52,24.47,82.78
2010-01-13,184,0.16,28.58,21.52,25.05,80.88
2010-01-14,244,0.56,27.34,21.8,24.57,82.9
2010-01-15,164,0.03,27.08,21.04,24.06,81.96
2010-01-16,164,0.0,28.72,18.5,23.61,71.34
2010-01-17,144,0.0,29.15,18.42,23.78,72.48
2010-01-18,144,0.0,28.81,18.83,23.82,71.79
2010-01-19,122,0.0,29.34,19.38,24.36,70.48
2010-01-20,224,0.0,28.62,19.2,23.91,73.99
2010-01-21,244,0.0,28.45,16.33,22.39,64.81
2010-01-22,164,0.0,28.47,16.09,22.28,64.49
2010-01-23,102,0.0,28.33,16.07,22.2,64.42
2010-01-24,144,0.0,28.17,16.89,22.53,70.03
2010-01-25,164,0.0,27.94,17.68,22.81,64.73
2010-01-26,164,0.0,28.28,18.02,23.15,67.89
2010-01-27,204,0.0,28.56,18.62,23.59,71.24
2010-01-28,224,0.0,28.92,19.02,23.97,75.28
2010-01-29,244,0.0,29.12,19.52,24.32,71.32
2010-01-30,204,0.0,29.67,19.43,24.55,68.37
2010-01-31,184,0.0,29.12,19.08,24.1,68.17
2010-02-01,202,0.0,29.16,19.19,24.17,69.25
2010-02-02,204,0.0,28.7,18.7,23.7,68.34
2010-02-03,224,0.0,28.94,17.74,23.34,68.89
2010-02-04,404,0.0,28.47,17.29,22.88,68.98
2010-02-05,404,0.0,29.33,17.33,23.33,62.01
2010-02-06,404,0.0,29.08,17.1,23.09,58.37
2010-02-07,324,0.0,29.44,18.45,23.95,59.84
2010-02-08,304,0.0,29.76,18.6,24.18,69.41
2010-02-09,284,0.0,29.72,19.39,24.55,72.95
2010-02-10,404,0.0,29.24,20.66,24.95,74.57
2010-02-11,404,0.0,29.98,21.38,25.68,74.77
2010-02-12,404,0.0,30.24,21.88,26.06,74.56
2010-02-13,344,0.0,30.48,21.84,26.16,72.37
2010-02-14,344,0.0,30.94,21.88,26.41,72.15
2010-02-15,324,0.0,31.38,21.52,26.45,67.8
2010-02-16,404,0.0,32.02,21.06,26.54,63.29
2010-02-17,404,0.0,32.03,20.81,26.42,67.14
2010-02-18,404,0.0,31.84,21.66,26.75,70.58
2010-02-19,204,0.0,31.44,22.62,27.03,71.92
2010-02-20,204,0.0,30.4,22.88,26.64,74.76
2010-02-21,224,0.0,31.96,22.16,27.06,70.45
2010-02-22,102,0.0,32.42,21.7,27.06,66.08
2010-02-23,122,0.0,31.3,21.74,26.52,68.97
2010-02-24,102,0.0,31.12,20.46,25.79,65.87
2010-02-25,122,0.0,31.73,20.21,25.97,59.98
2010-02-26,144,0.0,32.08,20.68,26.38,60.3
2010-02-27,304,0.0,33.36,21.06,27.21,57.54
2010-02-28,304,0.0,32.07,21.33,26.7,69.61
