YEAR,MO,DY,T2M,T2M_RANGE,RH2M,PRECTOTCORR
2016,1,1,22.87,12.27,65.89,0.0
2016,1,2,22.28,12.22,63.61,0.0
2016,1,3,22.32,12.37,62.11,0.0
2016,1,4,22.88,12.24,65.06,0.0
2016,1,5,22.77,11.41,63.0,0.0
2016,1,6,22.89,11.85,59.46,0.0
2016,1,7,23.73,12.2,68.35,0.0
2016,1,8,22.52,11.29,65.0,0.0
2016,1,9,22.59,10.88,59.65,0.0
2016,1,10,23.32,10.05,59.99,0.0
2016,1,11,23.25,9.85,59.01,0.0
2016,1,12,23.14,10.05,60.55,0.0
2016,1,13,23.55,10.0,63.65,0.0
2016,1,14,23.57,9.36,74.61,0.0
2016,1,15,23.66,9.1,73.37,0.0
2016,1,16,23.65,8.09,73.73,0.02
2016,1,17,23.4,8.66,72.12,0.01
2016,1,18,24.33,9.53,68.79,0.07
2016,1,19,24.96,7.51,71.72,0.09
2016,1,20,24.39,6.96,72.73,0.01
2016,1,21,25.28,9.03,72.17,0.0
2016,1,22,26.33,9.62,66.39,0.0
2016,1,23,25.81,7.5,67.68,0.0
2016,1,24,26.01,8.74,71.2,0.0
2016,1,25,25.6,10.42,68.97,0.0
2016,1,26,24.69,10.09,64.82,0.0
2016,1,27,24.73,10.49,70.03,0.0
2016,1,28,25.14,11.09,69.24,0.0
2016,1,29,24.89,11.01,63.93,0.0
2016,1,30,25.61,12.23,57.23,0.0
2016,1,31,25.67,12.53,55.18,0.0
2016,2,1,25.38,12.66,54.05,0.0
2016,2,2,25.63,13.22,53.49,0.0
2016,2,3,25.36,13.47,55.99,0.0
2016,2,4,25.18,11.47,59.34,0.0
2016,2,5,24.96,10.33,66.41,0.0
2016,2,6,24.9,9.56,73.13,0.0
2016,2,7,25.29,8.73,73.42,0.0
2016,2,8,26.36,10.81,68.58,0.0
2016,2,9,25.78,7.88,73.58,0.0
2016,2,10,25.73,8.08,74.41,0.0
2016,2,11,25.29,7.77,76.39,0.0
2016,2,12,25.25,8.6,74.92,0.0
2016,2,13,25.0,8.86,70.64,0.0
2016,2,14,25.48,10.77,67.39,0.0
2016,2,15,25.68,11.33,63.73,0.0
2016,2,16,26.03,10.7,65.3,0.0
2016,2,17,27.17,11.73,55.82,0.0
2016,2,18,27.25,10.0,62.83,0.0
2016,2,19,27.4,11.25,61.05,0.0
2016,2,20,27.78,11.64,64.04,0.0
2016,2,21,27.16,9.16,70.52,0.0
2016,2,22,28.39,12.13,60.18,0.0
2016,2,23,27.53,9.92,71.41,0.0
2016,2,24,26.98,8.15,72.81,0.0
2016,2,25,26.95,9.81,66.61,0.0
2016,2,26,27.75,11.49,63.01,0.0
2016,2,27,26.7,9.82,67.84,0.0
2016,2,28,27.48,11.33,63.88,0.0
2016,2,29,28.01,10.46,61.73,0.0
2016,3,1,27.2,9.22,63.84,0.0
